startingPos,shopList
"[587, 134]","[[92, np.int64(300), np.int64(52), 'Bar_2'], [89, np.int64(200), np.int64(6), 'Hotel'], [97, np.int64(375), np.int64(585), 'Rathaus'], [93, np.int64(301), np.int64(220), 'Bar_1'], [98, np.int64(110), np.int64(618), 'Kirche'], [88, np.int64(100), np.int64(1), 'Exit_1']]"
"[492, 352]","[[89, np.int64(200), np.int64(6), 'Hotel'], [92, np.int64(300), np.int64(52), 'Bar_2'], [95, np.int64(378), np.int64(350), 'Polizei'], [93, np.int64(301), np.int64(220), 'Bar_1'], [97, np.int64(375), np.int64(585), 'Rathaus'], [87, np.int64(438), np.int64(150), 'Exit_2']]"
"[420, 215]","[[89, np.int64(200), np.int64(6), 'Hotel'], [96, np.int64(200), np.int64(478), 'Shop_1'], [90, np.int64(251), np.int64(150), 'Shop_2'], [91, np.int64(95), np.int64(125), 'Restaurant_2'], [97, np.int64(375), np.int64(585), 'Rathaus'], [83, np.int64(180), np.int64(630), 'Exit_6']]"
"[468, 241]","[[90, np.int64(251), np.int64(150), 'Shop_2'], [92, np.int64(300), np.int64(52), 'Bar_2'], [94, np.int64(57), np.int64(400), 'Restaurant_1'], [95, np.int64(378), np.int64(350), 'Polizei'], [97, np.int64(375), np.int64(585), 'Rathaus'], [85, np.int64(438), np.int64(430), 'Exit_4']]"
"[0, 189]","[[92, np.int64(300), np.int64(52), 'Bar_2'], [90, np.int64(251), np.int64(150), 'Shop_2'], [97, np.int64(375), np.int64(585), 'Rathaus'], [96, np.int64(200), np.int64(478), 'Shop_1'], [89, np.int64(200), np.int64(6), 'Hotel'], [83, np.int64(180), np.int64(630), 'Exit_6']]"
"[40, 323]","[[90, np.int64(251), np.int64(150), 'Shop_2'], [89, np.int64(200), np.int64(6), 'Hotel'], [98, np.int64(110), np.int64(618), 'Kirche'], [92, np.int64(300), np.int64(52), 'Bar_2'], [91, np.int64(95), np.int64(125), 'Restaurant_2'], [80, np.int64(1), np.int64(140), 'Exit_9']]"
"[170, 169]","[[93, np.int64(301), np.int64(220), 'Bar_1'], [94, np.int64(57), np.int64(400), 'Restaurant_1'], [91, np.int64(95), np.int64(125), 'Restaurant_2'], [97, np.int64(375), np.int64(585), 'Rathaus'], [96, np.int64(200), np.int64(478), 'Shop_1'], [83, np.int64(180), np.int64(630), 'Exit_6']]"
"[353, 211]","[[98, np.int64(110), np.int64(618), 'Kirche'], [90, np.int64(251), np.int64(150), 'Shop_2'], [97, np.int64(375), np.int64(585), 'Rathaus'], [96, np.int64(200), np.int64(478), 'Shop_1'], [92, np.int64(300), np.int64(52), 'Bar_2'], [88, np.int64(100), np.int64(1), 'Exit_1']]"
"[60, 337]","[[92, np.int64(300), np.int64(52), 'Bar_2'], [95, np.int64(378), np.int64(350), 'Polizei'], [96, np.int64(200), np.int64(478), 'Shop_1'], [94, np.int64(57), np.int64(400), 'Restaurant_1'], [98, np.int64(110), np.int64(618), 'Kirche'], [85, np.int64(438), np.int64(430), 'Exit_4']]"
"[568, 292]","[[95, np.int64(378), np.int64(350), 'Polizei'], [97, np.int64(375), np.int64(585), 'Rathaus'], [96, np.int64(200), np.int64(478), 'Shop_1'], [94, np.int64(57), np.int64(400), 'Restaurant_1'], [98, np.int64(110), np.int64(618), 'Kirche'], [82, np.int64(85), np.int64(630), 'Exit_7']]"
"[418, 212]","[[92, np.int64(300), np.int64(52), 'Bar_2'], [90, np.int64(251), np.int64(150), 'Shop_2'], [96, np.int64(200), np.int64(478), 'Shop_1'], [98, np.int64(110), np.int64(618), 'Kirche'], [91, np.int64(95), np.int64(125), 'Restaurant_2'], [87, np.int64(438), np.int64(150), 'Exit_2']]"
"[182, 300]","[[90, np.int64(251), np.int64(150), 'Shop_2'], [98, np.int64(110), np.int64(618), 'Kirche'], [93, np.int64(301), np.int64(220), 'Bar_1'], [97, np.int64(375), np.int64(585), 'Rathaus'], [94, np.int64(57), np.int64(400), 'Restaurant_1'], [81, np.int64(1), np.int64(275), 'Exit_8']]"
"[90, 401]","[[91, np.int64(95), np.int64(125), 'Restaurant_2'], [96, np.int64(200), np.int64(478), 'Shop_1'], [98, np.int64(110), np.int64(618), 'Kirche'], [89, np.int64(200), np.int64(6), 'Hotel'], [97, np.int64(375), np.int64(585), 'Rathaus'], [81, np.int64(1), np.int64(275), 'Exit_8']]"
"[148, 7]","[[94, np.int64(57), np.int64(400), 'Restaurant_1'], [91, np.int64(95), np.int64(125), 'Restaurant_2'], [90, np.int64(251), np.int64(150), 'Shop_2'], [89, np.int64(200), np.int64(6), 'Hotel'], [93, np.int64(301), np.int64(220), 'Bar_1'], [87, np.int64(438), np.int64(150), 'Exit_2']]"
"[450, 107]","[[94, np.int64(57), np.int64(400), 'Restaurant_1'], [92, np.int64(300), np.int64(52), 'Bar_2'], [96, np.int64(200), np.int64(478), 'Shop_1'], [95, np.int64(378), np.int64(350), 'Polizei'], [89, np.int64(200), np.int64(6), 'Hotel'], [86, np.int64(438), np.int64(285), 'Exit_3']]"
"[212, 390]","[[94, np.int64(57), np.int64(400), 'Restaurant_1'], [93, np.int64(301), np.int64(220), 'Bar_1'], [95, np.int64(378), np.int64(350), 'Polizei'], [92, np.int64(300), np.int64(52), 'Bar_2'], [96, np.int64(200), np.int64(478), 'Shop_1'], [84, np.int64(438), np.int64(570), 'Exit_5']]"
"[249, 148]","[[94, np.int64(57), np.int64(400), 'Restaurant_1'], [89, np.int64(200), np.int64(6), 'Hotel'], [96, np.int64(200), np.int64(478), 'Shop_1'], [97, np.int64(375), np.int64(585), 'Rathaus'], [91, np.int64(95), np.int64(125), 'Restaurant_2'], [88, np.int64(100), np.int64(1), 'Exit_1']]"
"[433, 363]","[[91, np.int64(95), np.int64(125), 'Restaurant_2'], [89, np.int64(200), np.int64(6), 'Hotel'], [92, np.int64(300), np.int64(52), 'Bar_2'], [93, np.int64(301), np.int64(220), 'Bar_1'], [94, np.int64(57), np.int64(400), 'Restaurant_1'], [83, np.int64(180), np.int64(630), 'Exit_6']]"
"[401, 134]","[[93, np.int64(301), np.int64(220), 'Bar_1'], [89, np.int64(200), np.int64(6), 'Hotel'], [96, np.int64(200), np.int64(478), 'Shop_1'], [95, np.int64(378), np.int64(350), 'Polizei'], [97, np.int64(375), np.int64(585), 'Rathaus'], [81, np.int64(1), np.int64(275), 'Exit_8']]"
