point1,point2,comment
0,1,WP
0,5,WP
1,2,WP
2,3,WP
3,4,WP
5,7,WP
5,6,WP
5,8,WP
6,7,WP
7,8,WP
6,8,WP
7,11,WP
10,11,WP
4,10,WP
6,12,WP
12,13,WP
8,9,WP
9,19,WP
10,30,WP
29,30,WP
4,33,WP
33,34,WP
32,33,WP
31,32,WP
29,31,WP
34,37,WP
36,37,WP
35,36,WP
35,40,WP
19,29,WP
13,14,WP
13,15,WP
14,15,WP
14,16,WP
15,18,WP
18,19,WP
18,20,WP
19,20,WP
20,21,WP
14,58,WP
16,17,WP
28,29,WP
27,28,WP
21,24,WP
24,25,WP
25,26,WP
26,27,WP
27,40,WP
21,22,WP
22,23,WP
22,25,WP
23,60,WP
59,60,WP
58,59,WP
59,61,WP
60,62,WP
26,64,WP
17,68,WP
17,69,WP
68,69,WP
68,61,WP
61,62,WP
62,63,WP
63,64,WP
63,65,WP
65,66,WP
66,67,WP
27,43,WP
40,42,WP
42,43,WP
38,42,WP
39,42,WP
38,43,WP
39,43,WP
38,39,WP
38,41,WP
39,44,WP
44,45,WP
44,46,WP
45,46,WP
44,49,WP
49,50,WP
50,51,WP
46,47,WP
47,48,WP
48,51,WP
45,52,WP
52,55,WP
52,53,WP
48,53,WP
53,54,WP
54,55,WP
54,76,WP
55,56,WP
57,61,WP
56,57,WP
57,74,WP
69,70,WP
70,71,WP
71,72,WP
70,73,WP
71,73,WP
73,74,WP
74,75,WP
75,76,WP
74,77,WP
74,79,WP
75,77,WP
75,79,WP
77,79,WP
77,78,WP
0,80,Exit_9
16,81,Exit_8
17,94,Restaurant_1
68,94,Restaurant_1
69,94,Restaurant_1
66,96,Shop_1
67,96,Shop_1
6,91,Restaurant_2
12,91,Restaurant_2
78,82,Exit_7
77,98,Kirche
78,98,Kirche
79,98,Kirche
79,83,Exit_6
48,97,Rathaus
51,97,Rathaus
51,84,Exit_5
41,85,Exit_4
39,95,Polizei
40,95,Polizei
42,95,Polizei
43,95,Polizei
28,93,Bar_1
29,93,Bar_1
35,86,Exit_3
36,86,Exit_3
30,90,Shop_2
33,87,Exit_2
34,87,Exit_2
37,87,Exit_2
4,92,Bar_2
33,92,Bar_2
2,89,Hotel
3,89,Hotel
1,88,Exit_1
2,88,Exit_1
