point1, point2, comment
1,2,WP
1,6,WP
2,3,WP
3,4,WP
4,5,WP
6,8,WP
6,7,WP
6,9,WP
7,8,WP
8,9,WP
7,9,WP
8,12,WP
11,12,WP
5,11,WP
7,13,WP
13,14,WP
9,10,WP
10,20,WP
11,31,WP
30,31,WP
5,32,WP
34,35,WP
33,34,WP
32,33,WP
30,32,WP
35,38,WP
37,38,WP
36,37,WP
36,41,WP
20,30,WP
14,15,WP
14,16,WP
15,16,WP
15,17,WP
16,19,WP
19,20,WP
19,21,WP
20,21,WP
21,22,WP
15,59,WP
17,18,WP
29,30,WP
28,29,WP
22,25,WP
25,26,WP
26,27,WP
27,28,WP
28,41,WP
22,23,WP
23,24,WP
23,26,WP
24,61,WP
60,61,WP
59,60,WP
60,62,WP
61,63,WP
27,65,WP
18,69,WP
18,70,WP
69,70,WP
69,62,WP
62,63,WP
63,64,WP
64,65,WP
64,66,WP
66,67,WP
67,68,WP
28,44,WP
41,43,WP
43,44,WP
39,43,WP
40,43,WP
39,44,WP
40,44,WP
39,40,WP
39,42,WP
40,45,WP
45,46,WP
45,47,WP
46,47,WP
45,50,WP
50,51,WP
51,52,WP
47,48,WP
48,49,WP
49,52,WP
46,53,WP
53,56,WP
53,54,WP
49,54,WP
54,55,WP
55,56,WP
55,77,WP
56,57,WP
58,62,WP
57,58,WP
58,75,WP
70,71,WP
71,72,WP
72,73,WP
71,74,WP
72,74,WP
74,75,WP
75,76,WP
76,77,WP
75,78,WP
75,80,WP
76,78,WP
76,80,WP
78,80,WP
78,79,WP
