x,y,comment
51,41,WP
71,11,WP
151,3,WP
246,6,WP
261,21,WP
96,61,WP
91,91,WP
141,76,WP
131,91,WP
151,151,WP
203,66,WP
181,76,WP
71,151,WP
61,201,WP
51,243,WP
76,231,WP
21,253,WP
26,326,WP
116,219,WP
166,206,WP
176,231,WP
203,299,WP
206,316,WP
203,323,WP
241,286,WP
241,306,WP
263,304,WP
316,291,WP
301,241,WP
271,176,WP
251,129,WP
301,158,WP
321,147,WP
356,116,WP
386,141,WP
409,276,WP
407,251,WP
366,176,WP
351,401,WP
311,401,WP
348,286,WP
401,401,WP
351,351,WP
311,351,WP
311,459,WP
272,461,WP
311,471,WP
306,501,WP
294,536,WP
351,463,WP
389,471,WP
381,531,WP
251,501,WP
241,531,WP
226,531,WP
230,492,WP
201,483,WP
131,467,WP
81,301,WP
111,356,WP
184,330,WP
131,406,WP
195,389,WP
226,378,WP
261,371,WP
226,411,WP
221,441,WP
181,436,WP
71,423,WP
56,476,WP
61,496,WP
61,511,WP
31,526,WP
96,496,WP
129,496,WP
161,516,WP
191,530,WP
123,564,WP
81,561,WP
141,571,WP
200,200,Shop_2
